"gender","age","deep","stra","surf","points","attitude"
"F",20,4.25,4.125,3.41666666666667,28,50
"M",22,3.875,4.375,1.58333333333333,31,47
"F",20,4.625,2.625,2.91666666666667,27,36
"F",20,3.875,4,3,25,36
"M",24,4,2.75,2.91666666666667,23,29
"F",20,4.125,2.75,2.66666666666667,21,35
"F",19,2.5,1.375,3,27,40
"F",21,3.75,2.25,2.75,28,35
"F",21,3.25,3.625,3.08333333333333,23,32
"F",22,4.25,3.75,2.5,21,26
"F",25,3.25,4,2.33333333333333,25,20
"F",21,3.25,3.125,3,11,27
"F",22,4.25,3.25,3,19,32
"F",25,2.375,2.125,4,24,33
"F",20,3.5,2.875,3.25,28,39
"M",24,3,1.5,3.5,21,33
"F",20,2.875,2.5,3.5,24,30
"M",21,3.25,3.25,3.83333333333333,24,37
"F",26,3.875,3.25,3.08333333333333,0,14
"M",28,4.875,2.5,2.5,0,30
"F",20,4,3.625,2.91666666666667,20,25
"F",20,3.75,3.875,2.16666666666667,19,29
"M",31,4.375,3.875,1.66666666666667,30,39
"F",20,4.5,2.375,2.08333333333333,22,36
"F",22,3.875,3,2.83333333333333,16,29
"F",22,3.375,3.375,3.41666666666667,16,21
"M",21,3.5,2.75,3.33333333333333,19,31
"F",20,4.375,3.125,3.5,0,24
"M",22,3.5,4.5,2.58333333333333,30,40
"F",21,4.5,2.625,2.83333333333333,23,31
"F",21,4.375,2.75,3.33333333333333,19,23
"F",21,4.125,3.25,3,18,28
"F",21,4.375,4.125,2.58333333333333,28,37
"F",20,3.5,3.375,2.41666666666667,21,26
"F",21,4,2.75,3.58333333333333,19,24
"F",25,3.875,4.125,2.08333333333333,27,30
"F",27,4.25,3,2.75,0,29
"F",20,3.625,4.125,3.91666666666667,0,32
"M",21,2.125,3.25,4.33333333333333,24,28
"F",24,4.375,2.875,2.66666666666667,21,29
"F",20,4,2.875,3,20,24
"M",21,4.125,2.375,2.66666666666667,28,31
"F",20,3.75,3.875,2.16666666666667,12,19
"F",20,3.875,2.125,2.66666666666667,21,20
"F",18,3.5,4,2.25,28,38
"F",21,3.75,3.25,2.66666666666667,31,34
"F",19,3.5,2.625,3.33333333333333,18,37
"F",21,4.875,2.75,3.5,25,29
"F",20,3.125,4,2.75,19,23
"M",21,4.375,3,2,21,41
"F",20,3.375,3.375,2.83333333333333,16,27
"F",21,4,3.875,3.5,7,35
"F",20,3.625,3.25,2.5,21,34
"F",18,4.75,3.375,3.16666666666667,17,32
"M",22,3.5,4.125,3.08333333333333,22,33
"F",22,3.75,3.5,2.91666666666667,18,33
"M",24,2.5,2,3.16666666666667,25,35
"F",19,4.25,3.625,2.5,24,32
"F",20,3.375,3.375,3.83333333333333,23,31
"F",21,4,2.25,2.83333333333333,0,24
"F",20,4.375,2.125,2.25,23,28
"F",17,4.25,4.625,3.41666666666667,26,17
"M",19,2.75,2.5,3.75,12,19
"F",23,4.125,2,1.75,0,32
"F",20,3,2.875,3,32,35
"F",20,4,2.75,2.58333333333333,22,24
"F",25,4.125,3.375,2.75,0,38
"F",20,4.5,4,3.33333333333333,20,21
"F",20,4.375,2.375,2.83333333333333,21,29
"F",19,3.125,3.875,3,23,19
"F",19,4.25,3.375,2.83333333333333,20,20
"F",22,2.875,1.75,3.16666666666667,28,42
"M",35,4,3,2.75,31,41
"F",18,3.25,2.625,3.41666666666667,18,37
"F",19,3.625,2.625,3,30,36
"M",21,3.875,3.375,2.66666666666667,19,18
